Angle,I_normalized,Linear_Polarization,V_normalized,PA,PA_error,PA_filtered,PA_error_filtered,SN
-113.841642228739,-0.01851083906657214,0.04625885675388938,0.006212168112874075,-52.187943965219375,11.24051925153574,127.81205603478062,11.24051925153574,2.6122549116219944
-113.48973607038123,0.011918080421779985,-0.018933402163106957,-0.03735234205717595,,0.0,0.0,0.0,0.0
-113.13782991202346,-0.01027429678372792,0.013866757717337098,-0.02482330973469001,,0.0,0.0,0.0,0.0
-112.78592375366568,3.020499865198159e-05,0.007098060735526611,-0.02302744964901595,,0.0,0.0,0.0,0.0
-112.43401759530792,-0.002388139435030505,-0.024556663626271416,0.0006443627867035458,,0.0,0.0,0.0,0.0
-112.08211143695014,0.0229332381399343,-0.02106001474610404,0.017070256722617753,,0.0,0.0,0.0,0.0
-111.73020527859238,0.00918115370405504,0.019206769696335592,-0.0040544749218648585,,0.0,0.0,0.0,0.0
-111.3782991202346,-0.01272574315755839,-0.01791199950998828,-0.004945869571729558,,0.0,0.0,0.0,0.0
-111.02639296187684,0.009838237790448042,-0.016884509906709127,-0.016583172736077966,,0.0,0.0,0.0,0.0
-110.67448680351906,0.00480221075019721,-0.02388695993793786,0.024852466873695668,,0.0,0.0,0.0,0.0
-110.3225806451613,0.006547974477518048,0.011500999513784705,-0.00680140193914945,,0.0,0.0,0.0,0.0
-109.97067448680352,-0.009405324173465006,0.028473765430118834,0.005000599119294637,,0.0,0.0,0.0,0.0
-109.61876832844575,0.004786873296254506,-0.024513079250339326,-0.006284262134662048,,0.0,0.0,0.0,0.0
-109.26686217008798,0.0164423797018383,0.013254685528522606,0.018024154492895444,,0.0,0.0,0.0,0.0
-108.91495601173021,-0.019486604691104078,0.03970757079899656,-0.02018912199067371,-17.243673994931303,13.190777951617049,-17.243673994931303,13.190777951617049,2.2423013478286116
-108.56304985337243,0.0047414600537210305,0.012000521328777516,-0.010910211988377086,,0.0,0.0,0.0,0.0
-108.21114369501467,-0.016279419253697067,-0.02425707569551402,-0.028230351383466305,,0.0,0.0,0.0,0.0
-107.85923753665689,0.014543071684623605,-0.006696971566218937,-0.014782919108909902,,0.0,0.0,0.0,0.0
-107.50733137829913,-0.004987303663614487,0.01573712956597181,0.016665501712482652,,0.0,0.0,0.0,0.0
-107.15542521994135,0.037082638521373584,-0.01637423269551405,0.02844897999940088,,0.0,0.0,0.0,0.0
-106.80351906158356,-0.023708248874154993,-0.019662207228090985,-0.03151871748529662,,0.0,0.0,0.0,0.0
-106.4516129032258,0.023792025722188387,0.032327243427480015,0.015127512556541885,,0.0,0.0,0.0,0.0
-106.09970674486802,0.012753452424935346,-0.01726052573551373,-0.02482940078085215,,0.0,0.0,0.0,0.0
-105.74780058651025,0.00020247436268685037,-0.023478627063792182,-0.025830379342366722,,0.0,0.0,0.0,0.0
-105.39589442815247,0.025347888603752484,0.0146025190148786,0.0131734350504758,,0.0,0.0,0.0,0.0
-105.04398826979471,0.021429648416827266,-0.018455952017641494,0.014702687050036448,,0.0,0.0,0.0,0.0
-104.69208211143693,0.015053970663125207,0.018248176194464394,0.00202975126563951,,0.0,0.0,0.0,0.0
-104.34017595307917,-0.005214384854264232,0.007275340024637405,-0.021812335866276573,,0.0,0.0,0.0,0.0
-103.98826979472139,-0.022329076257900888,-0.003380317890281248,-0.016575983304542324,,0.0,0.0,0.0,0.0
-103.63636363636363,0.005106493454621706,-0.014943686733892621,-0.0011878139135470859,,0.0,0.0,0.0,0.0
-103.28445747800585,-0.004643439144457647,0.03344401175073655,-0.04218713491167984,,0.0,0.0,0.0,0.0
-102.93255131964808,-0.019244660349286548,-0.014021322047959113,0.009880974966798807,,0.0,0.0,0.0,0.0
-102.5806451612903,0.003675881454262235,-0.022679498887402397,-0.008094151597152186,,0.0,0.0,0.0,0.0
-102.22873900293254,0.004800198707899388,0.03907976782014257,0.0014240366661008319,-44.51007290085122,13.413121011059449,-44.51007290085122,13.413121011059449,2.206849079222679
-101.87683284457476,0.017452494832596085,-0.024963617132101015,-0.003141147513155661,,0.0,0.0,0.0,0.0
-101.524926686217,0.0015550790338202843,-0.02254043749838384,-0.012389637233267097,,0.0,0.0,0.0,0.0
-101.17302052785922,-0.004915983504248754,-0.0035287345399436913,0.009833344982875174,,0.0,0.0,0.0,0.0
-100.82111436950146,-0.007350045433213177,-0.02482457840520874,0.01577551000029956,,0.0,0.0,0.0,0.0
-100.46920821114368,0.004979590002696037,0.028132622658063808,0.010885947656944292,,0.0,0.0,0.0,0.0
-100.11730205278592,0.015937172356635745,-0.019375677988668596,0.023504698093802113,,0.0,0.0,0.0,0.0
